# location_in_nm,avg_pixel_intensity_for_each_row
0.000000000000000000e+00,1.694475605048652506e+04
1.344473101198673248e-02,1.679514461350776401e+04
2.688946202397346497e-02,1.670106507919379146e+04
4.033419303596019745e-02,1.664293754017962056e+04
5.377892404794692993e-02,1.670820847638669511e+04
6.722365505993366241e-02,1.682023598563510677e+04
8.066838607192039490e-02,1.698024542971381743e+04
9.411311708390712738e-02,1.705341040896573395e+04
1.075578480958938599e-01,1.699331140184319156e+04
1.210025791078805923e-01,1.685433652327047457e+04
1.344473101198673248e-01,1.654480042171798777e+04
1.478920411318540573e-01,1.629215560667632235e+04
1.613367721438407898e-01,1.617330867783988651e+04
1.747815031558275223e-01,1.618330054881825345e+04
1.882262341678142548e-01,1.630778090813936433e+04
2.016709651798009872e-01,1.654627007042878904e+04
2.151156961917877197e-01,1.675460213795311574e+04
2.285604272037744522e-01,1.689075277694293618e+04
2.420051582157611847e-01,1.682017551175088010e+04
2.554498892277479172e-01,1.663965537505472093e+04
2.688946202397346497e-01,1.628627445358197656e+04
2.823393512517213821e-01,1.591673895345729397e+04
2.957840822637081146e-01,1.570293445808545039e+04
3.092288132756948471e-01,1.568874588857478557e+04
3.226735442876815796e-01,1.582495532408292092e+04
3.361182752996683121e-01,1.610175317479415571e+04
3.495630063116550446e-01,1.640652284449937360e+04
3.630077373236417770e-01,1.660726422910081237e+04
3.764524683356285095e-01,1.662339513254896519e+04
3.898971993476152420e-01,1.645605380566218810e+04
4.033419303596019745e-01,1.614820700369683982e+04
4.167866613715887070e-01,1.571815054486944246e+04
4.302313923835754395e-01,1.540577537748372015e+04
4.436761233955621719e-01,1.528691624925153519e+04
4.571208544075489044e-01,1.537248935124176205e+04
4.705655854195356369e-01,1.560032333225956972e+04
4.840103164315223694e-01,1.594440899113373234e+04
4.974550474435091019e-01,1.622079194477994679e+04
5.108997784554958344e-01,1.631986380526361609e+04
5.243445094674825668e-01,1.621846180396100135e+04
5.377892404794692993e-01,1.598084832165225816e+04
5.512339714914560318e-01,1.558848346044506980e+04
5.646787025034427643e-01,1.518748832934484017e+04
5.781234335154294968e-01,1.496251212547430805e+04
5.915681645274162292e-01,1.492995369616357311e+04
6.050128955394029617e-01,1.507327994097484589e+04
6.184576265513896942e-01,1.534834509721133145e+04
6.319023575633764267e-01,1.568079629089463742e+04
6.453470885753631592e-01,1.586483750559317559e+04
6.587918195873498917e-01,1.586044952314242801e+04
6.722365505993366241e-01,1.569805301408700871e+04
6.856812816113233566e-01,1.540885167382351210e+04
6.991260126233100891e-01,1.499025918241089676e+04
7.125707436352968216e-01,1.467554632262196719e+04
7.260154746472835541e-01,1.451888229655938085e+04
7.394602056592702866e-01,1.454732678766767094e+04
7.529049366712570190e-01,1.472274094935372887e+04
7.663496676832437515e-01,1.501788386994557550e+04
7.797943986952304840e-01,1.528634615458973713e+04
7.932391297072172165e-01,1.536456457609683275e+04
8.066838607192039490e-01,1.527354299899940270e+04
8.201285917311906815e-01,1.506898799855826292e+04
8.335733227431774139e-01,1.471034115318959084e+04
8.470180537551641464e-01,1.430796387636483087e+04
8.604627847671508789e-01,1.406108478021522387e+04
8.739075157791376114e-01,1.394343514339129251e+04
8.873522467911243439e-01,1.401973872750542250e+04
9.007969778031110764e-01,1.421220981328855487e+04
9.142417088150978088e-01,1.450154867544787703e+04
9.276864398270845413e-01,1.467571566599010293e+04
9.411311708390712738e-01,1.467091957061689754e+04
9.545759018510580063e-01,1.452965575034383801e+04
9.680206328630447388e-01,1.426697104616055185e+04
9.814653638750314713e-01,1.384510776755542065e+04
9.949100948870182037e-01,1.351769901653007400e+04
1.008354825899004936e+00,1.329503356609092589e+04
1.021799556910991669e+00,1.324901063623627488e+04
1.035244287922978401e+00,1.336122551600601037e+04
1.048689018934965134e+00,1.358929409325685629e+04
1.062133749946951866e+00,1.383147683670141487e+04
1.075578480958938599e+00,1.391122619682377626e+04
1.089023211970925331e+00,1.382828258229424137e+04
1.102467942982912064e+00,1.363299686083803317e+04
1.115912673994898796e+00,1.325654840743748173e+04
1.129357405006885529e+00,1.284677853317591143e+04
1.142802136018872261e+00,1.255893915663306871e+04
1.156246867030858994e+00,1.237397028664804202e+04
1.169691598042845726e+00,1.239989592268523666e+04
1.183136329054832458e+00,1.255161029130174757e+04
1.196581060066819191e+00,1.279427107472206262e+04
